line_id,blueprint_id,line_number,content
BP06:00529,BP06,529,"006_brevio_v10_federation.sql           — Phase 2: Agent federations, negotiations, audit log"
BP06:00530,BP06,530,"007_brevio_v10_edge_v2.sql              — Phase 3: Edge capabilities, offline queue, platform support"
BP06:00531,BP06,531,"008_brevio_v10_fast_path.sql            — Phase 4: Fast-path routes, precomputed answers, reasoning depth"
BP06:00532,BP06,532,"009_brevio_v10_eq_calibration.sql       — Phase 5: Communication profiles, emotional state, knowledge files"
BP06:00533,BP06,533,"010_brevio_v10_digital_wallet.sql       — Phase 6: Wallets, transactions, merchants"
BP06:00534,BP06,534,"011_brevio_v10_onboarding.sql           — Phase 7A: Onboarding sessions, state machine"
BP06:00535,BP06,535,"012_brevio_v10_billing.sql              — Phase 7B: Subscription plans, workspace subscriptions"
BP06:00536,BP06,536,"013_brevio_v10_channels.sql             — Phase 7C: Channel configs, WhatsApp templates"
BP06:00537,BP06,537,014_brevio_v10_rate_limits.sql          — Phase 7D: Unified rate limiting
BP06:00538,BP06,538,015_brevio_v10_experiments.sql          — Phase 7E: A/B testing framework
BP06:00539,BP06,539,3.2 Migration 004: Reconciliation Preamble
BP06:00540,BP06,540,SQL
BP06:00541,BP06,541,-- ============================================================================
BP06:00542,BP06,542,-- Migration 004: V10 Reconciliation
BP06:00543,BP06,543,"-- Establishes UUIDv7 function, reconciliation views, and conventions"
BP06:00544,BP06,544,-- ============================================================================
BP06:00545,BP06,545,-- UUIDv7 generation function (RFC 9562 compliant)
BP06:00546,BP06,546,CREATE OR REPLACE FUNCTION uuidv7_generate() RETURNS UUID AS $$
BP06:00547,BP06,547,DECLARE
BP06:00548,BP06,548,"  unix_ts_ms BIGINT;"
BP06:00549,BP06,549,"  uuid_bytes BYTEA;"
BP06:00550,BP06,550,BEGIN
BP06:00551,BP06,551,"  unix_ts_ms := (EXTRACT(EPOCH FROM clock_timestamp()) * 1000)::BIGINT;"
BP06:00552,BP06,552,"  uuid_bytes := decode(replace(gen_random_uuid()::TEXT, '-', ''), 'hex');"
BP06:00553,BP06,553,"  uuid_bytes := set_byte(uuid_bytes, 0, (unix_ts_ms >> 40)::INT & 255);"
BP06:00554,BP06,554,"  uuid_bytes := set_byte(uuid_bytes, 1, (unix_ts_ms >> 32)::INT & 255);"
BP06:00555,BP06,555,"  uuid_bytes := set_byte(uuid_bytes, 2, (unix_ts_ms >> 24)::INT & 255);"
BP06:00556,BP06,556,"  uuid_bytes := set_byte(uuid_bytes, 3, (unix_ts_ms >> 16)::INT & 255);"
BP06:00557,BP06,557,"  uuid_bytes := set_byte(uuid_bytes, 4, (unix_ts_ms >> 8)::INT & 255);"
BP06:00558,BP06,558,"  uuid_bytes := set_byte(uuid_bytes, 5, unix_ts_ms::INT & 255);"
BP06:00559,BP06,559,"  uuid_bytes := set_byte(uuid_bytes, 6, (get_byte(uuid_bytes, 6) & 15) | 112); -- version 7"
BP06:00560,BP06,560,"  uuid_bytes := set_byte(uuid_bytes, 8, (get_byte(uuid_bytes, 8) & 63) | 128); -- variant 10"
BP06:00561,BP06,561,"  RETURN encode(uuid_bytes, 'hex')::UUID;"
BP06:00562,BP06,562,END;
BP06:00563,BP06,563,$$ LANGUAGE plpgsql VOLATILE;
BP06:00564,BP06,564,-- Service mapping view (documents the 5→7 reconciliation for audit)
BP06:00565,BP06,565,CREATE TABLE v10_service_mapping (
BP06:00566,BP06,566,"  v10_service       VARCHAR(32) NOT NULL,"
BP06:00567,BP06,567,"  v10_module        VARCHAR(64) NOT NULL,"
BP06:00568,BP06,568,"  source_service    VARCHAR(64) NOT NULL,"
BP06:00569,BP06,569,"  source_document   VARCHAR(64) NOT NULL,"
BP06:00570,BP06,570,"  PRIMARY KEY (v10_service, v10_module)"
BP06:00571,BP06,571,);
BP06:00572,BP06,572,INSERT INTO v10_service_mapping VALUES
BP06:00573,BP06,573,"  ('gateway', 'gateway.webhooks', 'brevio-gateway', 'openclaw'),"
BP06:00574,BP06,574,"  ('gateway', 'gateway.voice', 'brevio-gateway', 'openclaw'),"
BP06:00575,BP06,575,"  ('gateway', 'gateway.multimodal', 'NEW', 'v10'),"
BP06:00576,BP06,576,"  ('gateway', 'gateway.channels', 'NEW', 'v10'),"
BP06:00577,BP06,577,"  ('brain', 'brain.classifier', 'brevio-router', 'addendum'),"
BP06:00578,BP06,578,"  ('brain', 'brain.planner', 'brain', 'v9'),"
BP06:00579,BP06,579,"  ('brain', 'brain.agents', 'brevio-agents', 'addendum'),"
BP06:00580,BP06,580,"  ('brain', 'brain.memory', 'brevio-memory', 'addendum'),"
BP06:00581,BP06,581,"  ('brain', 'brain.fastpath', 'NEW', 'v10'),"
BP06:00582,BP06,582,"  ('brain', 'brain.eq', 'NEW', 'v10'),"
BP06:00583,BP06,583,"  ('control', 'control.gate', 'control', 'v9'),"
BP06:00584,BP06,584,"  ('control', 'control.cron', 'brevio-cron', 'addendum'),"
BP06:00585,BP06,585,"  ('control', 'control.wallet', 'NEW', 'v10'),"
BP06:00586,BP06,586,"  ('control', 'control.federation', 'NEW', 'v10'),"
BP06:00587,BP06,587,"  ('control', 'control.onboarding', 'NEW', 'v10'),"
BP06:00588,BP06,588,"  ('executor', 'executor.tools', 'executor', 'v9'),"
BP06:00589,BP06,589,"  ('executor', 'executor.browser', 'brevio-browser', 'addendum'),"
BP06:00590,BP06,590,"  ('executor', 'executor.marketing', 'brevio-marketing', 'addendum'),"
BP06:00591,BP06,591,"  ('executor', 'executor.marketplace', 'NEW', 'v10'),"
BP06:00592,BP06,592,"  ('canvas', 'canvas.a2ui', 'canvas', 'v9');"
BP06:00593,BP06,593,-- Unified rate limit configuration table (resolves Gap D)
BP06:00594,BP06,594,CREATE TABLE unified_rate_limits (
BP06:00595,BP06,595,"  id                UUID PRIMARY KEY DEFAULT uuidv7_generate(),"
BP06:00596,BP06,596,"  workspace_id      UUID NOT NULL REFERENCES workspaces(id),"
BP06:00597,BP06,597,"  service           VARCHAR(32) NOT NULL CHECK (service IN ('gateway','brain','control','executor','canvas')),"
BP06:00598,BP06,598,"  tier              VARCHAR(16) NOT NULL CHECK (tier IN ('free','pro','executive','enterprise')),"
BP06:00599,BP06,599,"  requests_per_minute INTEGER NOT NULL,"
BP06:00600,BP06,600,"  requests_per_hour   INTEGER NOT NULL,"
BP06:00601,BP06,601,"  burst_limit         INTEGER NOT NULL,"
BP06:00602,BP06,602,"  created_at        TIMESTAMPTZ NOT NULL DEFAULT now(),"
BP06:00603,BP06,603,"  UNIQUE(workspace_id, service, tier)"
BP06:00604,BP06,604,);
BP06:00605,BP06,605,-- Seed authoritative rate limits (reconciles V9 vs. OpenClaw vs. Addendum)
BP06:00606,BP06,606,"INSERT INTO unified_rate_limits (workspace_id, service, tier, requests_per_minute, requests_per_hour, burst_limit)"
BP06:00607,BP06,607,"SELECT w.id, s.service, t.tier, s.rpm, s.rph, s.burst"
BP06:00608,BP06,608,FROM workspaces w
BP06:00609,BP06,609,CROSS JOIN (VALUES
BP06:00610,BP06,610,"  ('gateway',  'free', 30, 500, 45),"
BP06:00611,BP06,611,"  ('gateway',  'pro', 60, 1000, 90),"
BP06:00612,BP06,612,"  ('gateway',  'executive', 120, 2000, 180),"
BP06:00613,BP06,613,"  ('gateway',  'enterprise', 300, 5000, 450),"
BP06:00614,BP06,614,"  ('brain',    'free', 20, 300, 30),"
BP06:00615,BP06,615,"  ('brain',    'pro', 50, 800, 75),"
BP06:00616,BP06,616,"  ('brain',    'executive', 100, 1500, 150),"
BP06:00617,BP06,617,"  ('brain',    'enterprise', 200, 3000, 300),"
BP06:00618,BP06,618,"  ('executor', 'free', 30, 500, 45),"
BP06:00619,BP06,619,"  ('executor', 'pro', 100, 1500, 150),"
BP06:00620,BP06,620,"  ('executor', 'executive', 200, 3000, 300),"
BP06:00621,BP06,621,"  ('executor', 'enterprise', 500, 8000, 750),"
BP06:00622,BP06,622,"  ('control',  'free', 10, 100, 15),"
BP06:00623,BP06,623,"  ('control',  'pro', 30, 500, 45),"
BP06:00624,BP06,624,"  ('control',  'executive', 60, 1000, 90),"
BP06:00625,BP06,625,"  ('control',  'enterprise', 120, 2000, 180)"
BP06:00626,BP06,626,") AS s(service, tier, rpm, rph, burst);"
BP06:00627,BP06,627,ALTER TABLE unified_rate_limits ENABLE ROW LEVEL SECURITY;
BP06:00628,BP06,628,CREATE POLICY rate_limits_ws_policy ON unified_rate_limits
BP06:00629,BP06,629,"  USING (workspace_id = current_setting('app.workspace_id')::UUID);"
BP06:00630,BP06,630,3.3 Migration 005: Multimodal Understanding (Phase 1)
BP06:00631,BP06,631,SQL
BP06:00632,BP06,632,-- ============================================================================
BP06:00633,BP06,633,-- Migration 005: Multimodal Understanding
BP06:00634,BP06,634,-- ============================================================================
BP06:00635,BP06,635,"CREATE TYPE attachment_type AS ENUM ('image','video','audio','document','location','contact');"
BP06:00636,BP06,636,"CREATE TYPE analysis_status AS ENUM ('pending','processing','completed','failed','skipped');"
BP06:00637,BP06,637,"CREATE TYPE detected_tone AS ENUM ('calm','urgent','frustrated','excited','sad','neutral');"
BP06:00638,BP06,638,"CREATE TYPE modality AS ENUM ('text','voice','image','video','document','multimodal');"
BP06:00639,BP06,639,CREATE TABLE message_attachments (
BP06:00640,BP06,640,"  id                    UUID PRIMARY KEY DEFAULT uuidv7_generate(),"
BP06:00641,BP06,641,"  workspace_id          UUID NOT NULL REFERENCES workspaces(id),"
BP06:00642,BP06,642,"  ingress_turn_id       UUID NOT NULL REFERENCES ingress_turns(id),"
BP06:00643,BP06,643,"  attachment_type       attachment_type NOT NULL,"
BP06:00644,BP06,644,"  mime_type             VARCHAR(128) NOT NULL,"
BP06:00645,BP06,645,"  storage_url           TEXT NOT NULL,"
BP06:00646,BP06,646,"  file_size_bytes       BIGINT NOT NULL CHECK (file_size_bytes <= 20971520),"
BP06:00647,BP06,647,"  file_hash_sha256      VARCHAR(64) NOT NULL,"
BP06:00648,BP06,648,"  analysis_status       analysis_status NOT NULL DEFAULT 'pending',"
BP06:00649,BP06,649,"  analysis_result       JSONB,"
BP06:00650,BP06,650,"  analysis_model_id     VARCHAR(64),"
BP06:00651,BP06,651,"  analysis_latency_ms   INTEGER,"
BP06:00652,BP06,652,"  analysis_cost_cents   DECIMAL(8,4),"
BP06:00653,BP06,653,"  embedding             VECTOR(1536),"
BP06:00654,BP06,654,"  created_at            TIMESTAMPTZ NOT NULL DEFAULT now(),"
BP06:00655,BP06,655,"  updated_at            TIMESTAMPTZ NOT NULL DEFAULT now()"
BP06:00656,BP06,656,);
BP06:00657,BP06,657,CREATE INDEX idx_attachments_workspace ON message_attachments(workspace_id);
BP06:00658,BP06,658,CREATE INDEX idx_attachments_turn ON message_attachments(ingress_turn_id);
BP06:00659,BP06,659,"CREATE INDEX idx_attachments_type ON message_attachments(workspace_id, attachment_type);"
BP06:00660,BP06,660,CREATE INDEX idx_attachments_embedding ON message_attachments USING hnsw (embedding vector_cosine_ops);
BP06:00661,BP06,661,ALTER TABLE message_attachments ENABLE ROW LEVEL SECURITY;
BP06:00662,BP06,662,CREATE POLICY attachments_ws_policy ON message_attachments
BP06:00663,BP06,663,"  USING (workspace_id = current_setting('app.workspace_id')::UUID);"
BP06:00664,BP06,664,CREATE TABLE audio_features (
BP06:00665,BP06,665,"  id                        UUID PRIMARY KEY DEFAULT uuidv7_generate(),"
BP06:00666,BP06,666,"  workspace_id              UUID NOT NULL REFERENCES workspaces(id),"
BP06:00667,BP06,667,"  ingress_turn_id           UUID NOT NULL REFERENCES ingress_turns(id),"
BP06:00668,BP06,668,"  detected_tone             detected_tone NOT NULL DEFAULT 'neutral',"
BP06:00669,BP06,669,"  tone_confidence           DECIMAL(3,2) NOT NULL CHECK (tone_confidence BETWEEN 0.00 AND 1.00),"
BP06:00670,BP06,670,"  speech_pace_wpm           INTEGER,"
BP06:00671,BP06,671,"  average_pitch_hz          DECIMAL(7,2),"
BP06:00672,BP06,672,"  volume_level              VARCHAR(16) CHECK (volume_level IN ('whisper','quiet','normal','loud','shouting')),"
BP06:00673,BP06,673,"  language_detected         VARCHAR(10),"
BP06:00674,BP06,674,"  background_noise          VARCHAR(16) CHECK (background_noise IN ('silent','quiet','moderate','noisy','very_noisy')),"
BP06:00675,BP06,675,"  transcription_confidence  DECIMAL(3,2),"
BP06:00676,BP06,676,"  raw_features_json         JSONB,"
BP06:00677,BP06,677,"  created_at                TIMESTAMPTZ NOT NULL DEFAULT now()"
BP06:00678,BP06,678,);
BP06:00679,BP06,679,"CREATE UNIQUE INDEX idx_audio_features_turn ON audio_features(workspace_id, ingress_turn_id);"
BP06:00680,BP06,680,ALTER TABLE audio_features ENABLE ROW LEVEL SECURITY;
BP06:00681,BP06,681,CREATE POLICY audio_features_ws_policy ON audio_features
BP06:00682,BP06,682,"  USING (workspace_id = current_setting('app.workspace_id')::UUID);"
BP06:00683,BP06,683,CREATE TABLE multimodal_context (
BP06:00684,BP06,684,"  id                    UUID PRIMARY KEY DEFAULT uuidv7_generate(),"
BP06:00685,BP06,685,"  workspace_id          UUID NOT NULL REFERENCES workspaces(id),"
BP06:00686,BP06,686,"  ingress_turn_id       UUID NOT NULL REFERENCES ingress_turns(id),"
BP06:00687,BP06,687,"  primary_modality      modality NOT NULL,"
BP06:00688,BP06,688,"  modalities_present    modality[] NOT NULL,"
BP06:00689,BP06,689,"  fused_intent_signal   JSONB NOT NULL,"
BP06:00690,BP06,690,"  urgency_score         DECIMAL(3,2) NOT NULL DEFAULT 0.50 CHECK (urgency_score BETWEEN 0.00 AND 1.00),"
BP06:00691,BP06,691,"  emotional_valence     DECIMAL(3,2) CHECK (emotional_valence BETWEEN -1.00 AND 1.00),"
BP06:00692,BP06,692,"  context_summary       TEXT,"
BP06:00693,BP06,693,"  created_at            TIMESTAMPTZ NOT NULL DEFAULT now()"
BP06:00694,BP06,694,);
BP06:00695,BP06,695,"CREATE UNIQUE INDEX idx_multimodal_turn ON multimodal_context(workspace_id, ingress_turn_id);"
BP06:00696,BP06,696,ALTER TABLE multimodal_context ENABLE ROW LEVEL SECURITY;
BP06:00697,BP06,697,CREATE POLICY multimodal_ws_policy ON multimodal_context
BP06:00698,BP06,698,"  USING (workspace_id = current_setting('app.workspace_id')::UUID);"
BP06:00699,BP06,699,3.4 Migration 006: Multi-Agent Federation (Phase 2)
BP06:00700,BP06,700,SQL
BP06:00701,BP06,701,-- ============================================================================
BP06:00702,BP06,702,-- Migration 006: Multi-Agent Federation
BP06:00703,BP06,703,-- ============================================================================
BP06:00704,BP06,704,"CREATE TYPE federation_status AS ENUM ('pending','active','suspended','revoked');"
BP06:00705,BP06,705,"CREATE TYPE negotiation_state AS ENUM ('proposed','evaluating','counter_proposed','accepted','rejected','expired','executing','executed','failed','compensating');"
BP06:00706,BP06,706,"CREATE TYPE federation_permission_type AS ENUM ('calendar_query','calendar_propose','meeting_negotiate','task_delegate','knowledge_share','status_query');"
BP06:00707,BP06,707,CREATE TABLE agent_federations (
BP06:00708,BP06,708,"  id                      UUID PRIMARY KEY DEFAULT uuidv7_generate(),"
BP06:00709,BP06,709,"  workspace_id            UUID NOT NULL REFERENCES workspaces(id),"
BP06:00710,BP06,710,"  partner_workspace_id    UUID NOT NULL REFERENCES workspaces(id),"
BP06:00711,BP06,711,"  status                  federation_status NOT NULL DEFAULT 'pending',"
BP06:00712,BP06,712,"  initiated_by_user_id    UUID NOT NULL,"
BP06:00713,BP06,713,"  accepted_by_user_id     UUID,"
BP06:00714,BP06,714,"  permissions_granted     federation_permission_type[] NOT NULL DEFAULT '{}',"
BP06:00715,BP06,715,"  permissions_received    federation_permission_type[] NOT NULL DEFAULT '{}',"
BP06:00716,BP06,716,"  trust_level             DECIMAL(3,2) NOT NULL DEFAULT 0.50 CHECK (trust_level BETWEEN 0.00 AND 1.00),"
BP06:00717,BP06,717,"  interaction_count       INTEGER NOT NULL DEFAULT 0,"
BP06:00718,BP06,718,"  last_interaction_at     TIMESTAMPTZ,"
BP06:00719,BP06,719,"  max_negotiations_per_day INTEGER NOT NULL DEFAULT 50,"
BP06:00720,BP06,720,"  expires_at              TIMESTAMPTZ,"
BP06:00721,BP06,721,"  created_at              TIMESTAMPTZ NOT NULL DEFAULT now(),"
BP06:00722,BP06,722,"  updated_at              TIMESTAMPTZ NOT NULL DEFAULT now(),"
BP06:00723,BP06,723,"  UNIQUE(workspace_id, partner_workspace_id),"
BP06:00724,BP06,724,"  CHECK (workspace_id != partner_workspace_id)"
BP06:00725,BP06,725,);
BP06:00726,BP06,726,ALTER TABLE agent_federations ENABLE ROW LEVEL SECURITY;
BP06:00727,BP06,727,CREATE POLICY federations_ws_policy ON agent_federations
BP06:00728,BP06,728,"  USING (workspace_id = current_setting('app.workspace_id')::UUID"
BP06:00729,BP06,729,"    OR partner_workspace_id = current_setting('app.workspace_id')::UUID);"
BP06:00730,BP06,730,CREATE TABLE federation_negotiations (
BP06:00731,BP06,731,"  id                        UUID PRIMARY KEY DEFAULT uuidv7_generate(),"
BP06:00732,BP06,732,"  workspace_id              UUID NOT NULL REFERENCES workspaces(id),"
BP06:00733,BP06,733,"  federation_id             UUID NOT NULL REFERENCES agent_federations(id),"
BP06:00734,BP06,734,"  negotiation_type          federation_permission_type NOT NULL,"
BP06:00735,BP06,735,"  state                     negotiation_state NOT NULL DEFAULT 'proposed',"
BP06:00736,BP06,736,"  initiator_workspace_id    UUID NOT NULL,"
BP06:00737,BP06,737,"  responder_workspace_id    UUID NOT NULL,"
BP06:00738,BP06,738,"  proposal_payload          JSONB NOT NULL,"
BP06:00739,BP06,739,"  counter_payload           JSONB,"
BP06:00740,BP06,740,"  resolution_payload        JSONB,"
BP06:00741,BP06,741,"  max_rounds                INTEGER NOT NULL DEFAULT 5 CHECK (max_rounds BETWEEN 1 AND 10),"
BP06:00742,BP06,742,"  current_round             INTEGER NOT NULL DEFAULT 1,"
BP06:00743,BP06,743,"  timeout_at                TIMESTAMPTZ NOT NULL,"
BP06:00744,BP06,744,"  resolved_at               TIMESTAMPTZ,"
BP06:00745,BP06,745,"  idempotency_key           VARCHAR(128) NOT NULL UNIQUE,"
BP06:00746,BP06,746,"  created_at                TIMESTAMPTZ NOT NULL DEFAULT now(),"
BP06:00747,BP06,747,"  updated_at                TIMESTAMPTZ NOT NULL DEFAULT now()"
BP06:00748,BP06,748,);
BP06:00749,BP06,749,"CREATE INDEX idx_negotiations_federation ON federation_negotiations(federation_id, state);"
BP06:00750,BP06,750,"CREATE INDEX idx_negotiations_timeout ON federation_negotiations(timeout_at) WHERE state NOT IN ('executed','failed','expired','rejected');"
BP06:00751,BP06,751,ALTER TABLE federation_negotiations ENABLE ROW LEVEL SECURITY;
BP06:00752,BP06,752,CREATE POLICY negotiations_ws_policy ON federation_negotiations
BP06:00753,BP06,753,"  USING (workspace_id = current_setting('app.workspace_id')::UUID);"
BP06:00754,BP06,754,CREATE TABLE federation_audit_log (
BP06:00755,BP06,755,"  id                    UUID PRIMARY KEY DEFAULT uuidv7_generate(),"
BP06:00756,BP06,756,"  workspace_id          UUID NOT NULL REFERENCES workspaces(id),"
BP06:00757,BP06,757,"  federation_id         UUID NOT NULL REFERENCES agent_federations(id),"
BP06:00758,BP06,758,"  negotiation_id        UUID REFERENCES federation_negotiations(id),"
BP06:00759,BP06,759,"  event_type            VARCHAR(64) NOT NULL,"
BP06:00760,BP06,760,"  actor_workspace_id    UUID NOT NULL,"
BP06:00761,BP06,761,"  payload_summary       JSONB NOT NULL,"
BP06:00762,BP06,762,"  created_at            TIMESTAMPTZ NOT NULL DEFAULT now()"
BP06:00763,BP06,763,);
BP06:00764,BP06,764,"CREATE INDEX idx_federation_audit ON federation_audit_log(federation_id, created_at DESC);"
BP06:00765,BP06,765,-- Append-only enforcement via trigger
BP06:00766,BP06,766,CREATE OR REPLACE FUNCTION prevent_federation_audit_modification() RETURNS TRIGGER AS $$
BP06:00767,BP06,767,BEGIN RAISE EXCEPTION 'federation_audit_log is append-only'; END;
BP06:00768,BP06,768,$$ LANGUAGE plpgsql;
BP06:00769,BP06,769,CREATE TRIGGER no_update_federation_audit BEFORE UPDATE OR DELETE ON federation_audit_log
BP06:00770,BP06,770,"  FOR EACH ROW EXECUTE FUNCTION prevent_federation_audit_modification();"
BP06:00771,BP06,771,ALTER TABLE federation_audit_log ENABLE ROW LEVEL SECURITY;
BP06:00772,BP06,772,CREATE POLICY federation_audit_ws_policy ON federation_audit_log
BP06:00773,BP06,773,"  USING (workspace_id = current_setting('app.workspace_id')::UUID);"
BP06:00774,BP06,774,3.5 Migration 007: Edge Intelligence V2 (Phase 3)
BP06:00775,BP06,775,SQL
BP06:00776,BP06,776,-- ============================================================================
BP06:00777,BP06,777,-- Migration 007: Edge Intelligence V2
BP06:00778,BP06,778,-- ============================================================================
BP06:00779,BP06,779,CREATE TABLE edge_agent_capabilities (
BP06:00780,BP06,780,"  id                    UUID PRIMARY KEY DEFAULT uuidv7_generate(),"
BP06:00781,BP06,781,"  workspace_id          UUID NOT NULL REFERENCES workspaces(id),"
BP06:00782,BP06,782,"  edge_agent_id         UUID NOT NULL REFERENCES edge_agents(id),"
BP06:00783,BP06,783,"  platform              VARCHAR(16) NOT NULL CHECK (platform IN ('macos','windows','linux')),"
BP06:00784,BP06,784,"  agent_version         VARCHAR(32) NOT NULL,"
BP06:00785,BP06,785,"  has_local_llm         BOOLEAN NOT NULL DEFAULT false,"
BP06:00786,BP06,786,"  local_llm_model_id    VARCHAR(64),"
BP06:00787,BP06,787,"  local_llm_max_tokens  INTEGER,"
BP06:00788,BP06,788,"  has_matter_bridge     BOOLEAN NOT NULL DEFAULT false,"
BP06:00789,BP06,789,"  matter_devices        JSONB DEFAULT '[]',"
BP06:00790,BP06,790,"  has_homekit           BOOLEAN NOT NULL DEFAULT false,"
BP06:00791,BP06,791,"  offline_skill_ids     TEXT[] NOT NULL DEFAULT '{}',"
BP06:00792,BP06,792,"  disk_cache_mb         INTEGER NOT NULL DEFAULT 500,"
BP06:00793,BP06,793,"  last_capability_sync  TIMESTAMPTZ,"
BP06:00794,BP06,794,"  last_heartbeat_at     TIMESTAMPTZ,"
BP06:00795,BP06,795,"  is_online             BOOLEAN NOT NULL DEFAULT false,"
BP06:00796,BP06,796,"  created_at            TIMESTAMPTZ NOT NULL DEFAULT now(),"
BP06:00797,BP06,797,"  updated_at            TIMESTAMPTZ NOT NULL DEFAULT now(),"
BP06:00798,BP06,798,"  UNIQUE(workspace_id, edge_agent_id)"
BP06:00799,BP06,799,);
BP06:00800,BP06,800,ALTER TABLE edge_agent_capabilities ENABLE ROW LEVEL SECURITY;
BP06:00801,BP06,801,CREATE POLICY edge_cap_ws_policy ON edge_agent_capabilities
BP06:00802,BP06,802,"  USING (workspace_id = current_setting('app.workspace_id')::UUID);"
BP06:00803,BP06,803,CREATE TABLE offline_task_queue (
BP06:00804,BP06,804,"  id                    UUID PRIMARY KEY DEFAULT uuidv7_generate(),"
BP06:00805,BP06,805,"  workspace_id          UUID NOT NULL REFERENCES workspaces(id),"
BP06:00806,BP06,806,"  edge_agent_id         UUID NOT NULL REFERENCES edge_agents(id),"
BP06:00807,BP06,807,"  skill_id              VARCHAR(64) NOT NULL,"
BP06:00808,BP06,808,"  offline_tier          INTEGER NOT NULL CHECK (offline_tier BETWEEN 1 AND 4),"
BP06:00809,BP06,809,"  input_payload         JSONB NOT NULL,"
BP06:00810,BP06,810,"  status                VARCHAR(16) NOT NULL DEFAULT 'queued'"
BP06:00811,BP06,811,"                        CHECK (status IN ('queued','executing_locally','completed','failed','synced','expired')),"
BP06:00812,BP06,812,"  priority              INTEGER NOT NULL DEFAULT 5 CHECK (priority BETWEEN 1 AND 10),"
BP06:00813,BP06,813,"  result_payload        JSONB,"
BP06:00814,BP06,814,"  executed_locally      BOOLEAN NOT NULL DEFAULT false,"
BP06:00815,BP06,815,"  queued_at             TIMESTAMPTZ NOT NULL DEFAULT now(),"
BP06:00816,BP06,816,"  executed_at           TIMESTAMPTZ,"
BP06:00817,BP06,817,"  synced_at             TIMESTAMPTZ,"
BP06:00818,BP06,818,"  expires_at            TIMESTAMPTZ NOT NULL DEFAULT now() + INTERVAL '24 hours'"
BP06:00819,BP06,819,);
BP06:00820,BP06,820,"CREATE INDEX idx_offline_queue_agent ON offline_task_queue(edge_agent_id, status);"
BP06:00821,BP06,821,CREATE INDEX idx_offline_queue_expiry ON offline_task_queue(expires_at) WHERE status = 'queued';
BP06:00822,BP06,822,ALTER TABLE offline_task_queue ENABLE ROW LEVEL SECURITY;
BP06:00823,BP06,823,CREATE POLICY offline_queue_ws_policy ON offline_task_queue
BP06:00824,BP06,824,"  USING (workspace_id = current_setting('app.workspace_id')::UUID);"
BP06:00825,BP06,825,-- Extend skills_registry for V10 (additive column)
BP06:00826,BP06,826,-- Note: This adds columns to the V9 + OpenClaw skills table without modifying existing data
BP06:00827,BP06,827,ALTER TABLE connector_tools ADD COLUMN IF NOT EXISTS supported_platforms TEXT[] NOT NULL DEFAULT '{cloud}';
BP06:00828,BP06,828,ALTER TABLE connector_tools ADD COLUMN IF NOT EXISTS offline_tier INTEGER CHECK (offline_tier BETWEEN 1 AND 4);
BP06:00829,BP06,829,3.6 Migration 008: System 1 Fast-Path (Phase 4)
BP06:00830,BP06,830,SQL
BP06:00831,BP06,831,-- ============================================================================
BP06:00832,BP06,832,-- Migration 008: System 1 Fast-Path Reasoning
BP06:00833,BP06,833,-- ============================================================================
BP06:00834,BP06,834,"CREATE TYPE reasoning_depth AS ENUM ('instant','shallow','standard','deep');"
BP06:00835,BP06,835,CREATE TABLE fast_path_routes (
BP06:00836,BP06,836,"  id                      UUID PRIMARY KEY DEFAULT uuidv7_generate(),"
BP06:00837,BP06,837,"  workspace_id            UUID NOT NULL REFERENCES workspaces(id),"
BP06:00838,BP06,838,"  pattern_hash            VARCHAR(64) NOT NULL,"
BP06:00839,BP06,839,"  query_pattern           TEXT NOT NULL,"
BP06:00840,BP06,840,"  skill_id                VARCHAR(64) NOT NULL,"
BP06:00841,BP06,841,"  skill_input_template    JSONB NOT NULL,"
BP06:00842,BP06,842,"  response_template       TEXT NOT NULL,"
BP06:00843,BP06,843,"  confidence_threshold    DECIMAL(3,2) NOT NULL DEFAULT 0.95 CHECK (confidence_threshold BETWEEN 0.80 AND 1.00),"
BP06:00844,BP06,844,"  hit_count               BIGINT NOT NULL DEFAULT 0,"
BP06:00845,BP06,845,"  miss_count              BIGINT NOT NULL DEFAULT 0,"
BP06:00846,BP06,846,"  avg_latency_ms          INTEGER,"
BP06:00847,BP06,847,"  is_active               BOOLEAN NOT NULL DEFAULT true,"
BP06:00848,BP06,848,"  created_at              TIMESTAMPTZ NOT NULL DEFAULT now(),"
BP06:00849,BP06,849,"  updated_at              TIMESTAMPTZ NOT NULL DEFAULT now(),"
BP06:00850,BP06,850,"  UNIQUE(workspace_id, pattern_hash)"
BP06:00851,BP06,851,);
BP06:00852,BP06,852,ALTER TABLE fast_path_routes ENABLE ROW LEVEL SECURITY;
BP06:00853,BP06,853,CREATE POLICY fastpath_ws_policy ON fast_path_routes
BP06:00854,BP06,854,"  USING (workspace_id = current_setting('app.workspace_id')::UUID);"
BP06:00855,BP06,855,CREATE TABLE precomputed_answers (
BP06:00856,BP06,856,"  id                      UUID PRIMARY KEY DEFAULT uuidv7_generate(),"
BP06:00857,BP06,857,"  workspace_id            UUID NOT NULL REFERENCES workspaces(id),"
BP06:00858,BP06,858,"  route_id                UUID NOT NULL REFERENCES fast_path_routes(id),"
BP06:00859,BP06,859,"  answer_payload          JSONB NOT NULL,"
BP06:00860,BP06,860,"  formatted_response      TEXT NOT NULL,"
BP06:00861,BP06,861,"  data_version            VARCHAR(64) NOT NULL,"
